套件名稱,引用套件名稱,套件 Repo URL,License 名稱,License URL,備註
@humanwhocodes/object-schema,,https://github.com/humanwhocodes/object-schema,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/humanwhocodes/object-schema/blob/main/LICENSE,
@img/sharp-darwin-arm64,,https://github.com/lovell/sharp,Apache License 2.0,https://github.com/lovell/sharp/blob/main/LICENSE,
@img/sharp-darwin-x64,,https://github.com/lovell/sharp,Apache License 2.0,https://github.com/lovell/sharp/blob/main/LICENSE,
@img/sharp-libvips-darwin-arm64,,https://github.com/lovell/sharp-libvips,Apache License 2.0,https://github.com/lovell/sharp-libvips/blob/main/LICENSE,
@img/sharp-libvips-darwin-x64,,https://github.com/lovell/sharp-libvips,Apache License 2.0,https://github.com/lovell/sharp-libvips/blob/main/LICENSE,
@img/sharp-libvips-linux-arm64,,https://github.com/lovell/sharp-libvips,Apache License 2.0,https://github.com/lovell/sharp-libvips/blob/main/LICENSE,
@img/sharp-libvips-linux-arm,,https://github.com/lovell/sharp-libvips,Apache License 2.0,https://github.com/lovell/sharp-libvips/blob/main/LICENSE,
@img/sharp-libvips-linux-s390x,,https://github.com/lovell/sharp-libvips,Apache License 2.0,https://github.com/lovell/sharp-libvips/blob/main/LICENSE,
@img/sharp-libvips-linux-x64,,https://github.com/lovell/sharp-libvips,Apache License 2.0,https://github.com/lovell/sharp-libvips/blob/main/LICENSE,
@img/sharp-libvips-linuxmusl-arm64,,https://github.com/lovell/sharp-libvips,Apache License 2.0,https://github.com/lovell/sharp-libvips/blob/main/LICENSE,
@img/sharp-libvips-linuxmusl-x64,,https://github.com/lovell/sharp-libvips,Apache License 2.0,https://github.com/lovell/sharp-libvips/blob/main/LICENSE,
@img/sharp-linux-arm64,,https://github.com/lovell/sharp,Apache License 2.0,https://github.com/lovell/sharp/blob/main/LICENSE,
@img/sharp-linux-arm,,https://github.com/lovell/sharp,Apache License 2.0,https://github.com/lovell/sharp/blob/main/LICENSE,
@img/sharp-linux-s390x,,https://github.com/lovell/sharp,Apache License 2.0,https://github.com/lovell/sharp/blob/main/LICENSE,
@img/sharp-linux-x64,,https://github.com/lovell/sharp,Apache License 2.0,https://github.com/lovell/sharp/blob/main/LICENSE,
@img/sharp-linuxmusl-arm64,,https://github.com/lovell/sharp,Apache License 2.0,https://github.com/lovell/sharp/blob/main/LICENSE,
@img/sharp-linuxmusl-x64,,https://github.com/lovell/sharp,Apache License 2.0,https://github.com/lovell/sharp/blob/main/LICENSE,
@img/sharp-wasm32,,https://github.com/lovell/sharp,Apache License 2.0,https://github.com/lovell/sharp/blob/main/LICENSE,
@img/sharp-win32-ia32,,https://github.com/lovell/sharp,Apache License 2.0,https://github.com/lovell/sharp/blob/main/LICENSE,
@img/sharp-win32-x64,,https://github.com/lovell/sharp,Apache License 2.0,https://github.com/lovell/sharp/blob/main/LICENSE,
@istanbuljs/load-nyc-config,,https://github.com/istanbuljs/load-nyc-config,ISC License,https://github.com/istanbuljs/load-nyc-config/blob/master/LICENSE,
@istanbuljs/schema,,https://github.com/istanbuljs/schema,MIT License,https://github.com/istanbuljs/schema/blob/master/LICENSE,
@jest/console,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/core,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/diff-sequences,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/environment,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/expect-utils,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/expect,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/fake-timers,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/get-type,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/globals,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/pattern,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/reporters,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/schemas,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/source-map,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
@jest/test-result,,https://github.com/jestjs/jest,MIT License,https://github.com/jestjs/jest/blob/main/LICENSE,
